Is She Still With You - Batman v Superman;8,1;;;;
Leaving Caladan - Dune Parte I;8,2;;;;
Attack on titan - Ataque a los titanes;8;;;;
Il triello - El bueno, el feo y el malo;10;X;https://www.youtube.com/watch?v=XIC-AXCpFFQ;4:38 - 5:08;
Tanjiro no Uta - Kimetsu no Yaiba;8;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;9;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;7;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8,4;;;;
Rain - Cowboy bebop;8,2;;;;
To the Infinity Castle - Kimetsu No Yaiba;9;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;7,9;;;;
Living in the shadows - Love, death and robots;9,4;;;;
Now We Are Free - Gladiator;9;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;9;;;;
This Land - El Rey León;8,5;;;;
Sanctuary - The Hunchback of Notre Dame;10;X;https://www.youtube.com/watch?v=6JgnDxV7ObU;1:00 - 1:30;
Vértigo - Vértigo;8,8;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;7,6;;;;
Restriction and pledge - Hunter x Hunter;7,9;;;;
Test Drive - Como entrenar a tu dragón;9;;;;
Jump in the line - Beetlejuice;8,5;;;;
Goodbye blue sky - The Wall;7,4;;;;
Dynasties & Dystopia - Arcane;10;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;9;;;;
Kiss the ring - Dune Parte II;9,6;;;;
Overture - The phantom of the Opera;10;X;https://www.youtube.com/watch?v=ppSvlawM43A;2:35 - 3:05;
The Night King - Juego de Tronos;8;;;;
Love theme - Cinema Paradiso;9;;;;
Lisan Al Gaib - Dune II;7,8;;;;
Courtyard Apocalypse - Harry Potter;8;;;;
Nana de Mercedes - El laberinto del fauno;8,2;;;;
Apocalypto - The Game and Scape;7,9;;;;
Moon Knight theme - Moon Knight;9,6;;;;
True survivor- Kung fury;9;;;;
Blade runner blues - Blade Runner;7;;;;
Still don't know my name - Euphoria;7,4;;;;
The Game is On - Sherlock;9,7;;;;
I am Sherlocked - Sherlock;8,4;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;10;;;;
Náufrago escena- Náufrago;7;;;;
Imhotep - The mummy;10;X;https://www.youtube.com/watch?v=zjmGbF8_1s8&t=152s;2:26 - 2:56;
Unohana Bankai - Bleach;8,8;;;;
Hymn To Red October - La caza del octubre rojo;8,7;;;;
La Pantera Rosa - La Pantera Rosa;9,5;;;;
Mother Sea - One piece;8,3;;;;
The bridge of Khazad Dum - El señor de los anillos;10;;;;
Jurassic Park - Parque Jurásico;8,9;;;;
Piratas del caribe BSO - Piratas del Caribe;10;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;7,7;;;;
Freedom - Braveheart;8,2;;;;
Master of Masters theme - Kingdom Hearts;7,3;;;;
Discombobulate - Sherlock Holmes;8,7;;;;
Victor’s piano solo - La novia cadáver;8;;;;
The Only thing worth fighting for - True Detective;7,6;;;;
Marcha imperial - Star wars;9,5;;;;
Sayuri's Theme - Memorias de una Geisha;7,5;;;;
Your new home - Amazing Digital Circus;8;;;;
Love so fine - True Beauty kdrama;7,5;;;;
The Citrine Cross - The Da Vinci Code;9,6;X;https://www.youtube.com/watch?v=uLYyYO0ydKA;1:27 - 1:57;
Eye of the tiger - Rocky III;9;;;;
Kronos Unveiled - Los Increíbles;7,8;;;;
Farewell - Pocahontas;10;X;https://www.youtube.com/watch?v=I9Fr94uUpyY;1:50 - 2:20;INFANCIA
Family theme - Shinchan;7,4;;;;
Alice’s Theme - Alicia en el País de la Maravillas;9;;;;
Enchantix - Winx Club;6;;;;
Vals - Princesa por sorpresa;7,2;;;;
Locke’d out again - Lost;7;;;;
Spirit - No voy a rendirme;9,5;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;7,7;;;;
Change of seasons - Harry Potter y la piedra filosofal;6,5;;;;
Indiana Jones Theme - Indiana Jones;9;;;;
Kanto Anime OST - Pokemon;7,8;;;;
Married Life - Up;8,5;;;;
Escena final Titanic - Titanic;9,5;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;9;;;;
Hyoga vs Camus - Saint Seiya;7,4;;;;
My Daughter Anne - Anne with an E;7,5;;;;
She is a witch - Madoka Magica;9;;;;
Sweet Dreams - Chainsaw man;8,8;;;;
Main theme - Psycho/Psicosis;9,4;X;https://www.youtube.com/watch?v=zYsHrU5b02E;0:10 - 0:40;
The Batman - The Batman;8,6;;;;
Pozos de ambición - There will be blood;9;;;;
Portals - Avengers Endgame;8,7;;;;
I have to save her - Erased;7,8;;;;
The Mandalorian theme - The Mandalorian;9,2;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;10;X;https://drive.google.com/file/d/1ZL6EF2d0qV6gvEWZ-9mYEZVG6P79-agK/view;1:15 - 1:45;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);8,2;;;;
Isshiki japanese combat kitchen - Shokugeki;7,6;;;;
Happy Gru - Gru, mi villano favorito;8;;;;
Escena Rue - Los juegos del hambre;7;;;;
Zorro´s Theme - La mascara del zorro;8,3;;;;
Lo que el viento se llevó - Lo que el viento se llevó;7,7;;;;
Season 5A Suite - Once Upon a Time;7,8;;;;
Parade - Paprika;10;;;;
Derezzed - Tron legacy;9,2;;;;
Low of Solipsism - Death Note;9;;;;
Destroyer of Worlds - Oppenheimer;8;;;;
Sin mirar atrás - La ruta hacia el dorado;10;X;https://www.youtube.com/watch?v=z1yjKI9fSNw;2:22 - 2:52;
Corazón de dragón tema final- Corazón de dragón;7,6;;;;
To give a marionette life - Hunter x Hunter;7,8;;;;
A Watchful Guardian - The Dark Knight;9,6;;;;
Allerdale Hall - La Cumbre Escarlata;8,3;;;;
Hanezeve Caradhina - Made in Abyss;9;;;;
The Other Side - Gattaca;8,1;;;;
I think i did - Lovely runner;7,3;;;;
Love theme - El padrino;8,9;;;;
Jaws, Main Theme - Jaws;10;;;;
Theme from Schindler’s List - Schindler’s List;9,2;;;;
Transformación - Hermano Oso;10;;;;
A Gift of A Thistle - Braveheart;10;;;;
Surrounded - El hombre de la máscara de hierro;9,7;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;9;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;7,8;;;;
An Immortal conffesion - Fumetsu no anata e.;8,3;;;;
Table for two - Animales Nocturnos;7,8;;;;
Cuckold Comes Out - Master & Commander;9;X;https://www.youtube.com/watch?v=71KwJ11O0fI&list=PLuNcYetLqSwZTAGzVtLQzlVh7guQ2bQZe&index=8;0:00 - 0:30;
Lo extraño que soy - Tarzán;10;;;;
Pinks Soldiers 23 - Juego del calamar;9;;;;
Twin Peaks - Twin Peaks;8,6;;;;
Main title - El resplandor;8,3;;;;
Ashoka vs Maul - Star Wars: Clone Wars;8,8;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;7,8;;;;
Bso Leyendas de pasión- Leyendas de pasión;7,5;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;10;X;https://www.youtube.com/watch?v=nmxz5LvIh48;2:00 - 2:30;
Madder Sky - Code Geass;7,5;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;9;;;;
Sadness Waltz - The picture of Dorian Gray;9,1;;;;
The Ecstasy of gold - El bueno, el feo y el malo;9,5;;;;
She will kill you - Stranger things;8,9;;;;
La vita è Bella - La Vita è Bella;10;;;;
Death is the road to Awe - The Fountain;9;;;;
The rains of Castamere - Juego de Tronos;10;;;;