Is She Still With You - Batman v Superman;10,00;;;;
Leaving Caladan - Dune Parte I;8,00;;;;
Attack on titan - Ataque a los titanes;10,00;X;https://youtu.be/a6Fl1Xl1ogg;10:57-11:30;
Il triello - El bueno, el feo y el malo;7,75;;;;
Tanjiro no Uta - Kimetsu no Yaiba;10,00;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;8,00;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;8,50;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8,00;;;;
Rain - Cowboy bebop;6,50;;;;
To the Infinity Castle - Kimetsu No Yaiba;8,00;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;8,00;;;;
Living in the shadows - Love, death and robots;8,50;;;;
Now We Are Free - Gladiator;8,00;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;10,00;X;https://youtu.be/fyru5TiogAQ;01:30-02:04;
This Land - El Rey León;10,00;;;;
Sanctuary - The Hunchback of Notre Dame;7,00;;;;
Vértigo - Vértigo;6,00;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;10,00;;;;
Restriction and pledge - Hunter x Hunter;8,00;;;;
Test Drive - Como entrenar a tu dragón;8,75;;;;
Jump in the line - Beetlejuice;8,00;;;;
Goodbye blue sky - The Wall;5,50;;;;
Dynasties & Dystopia - Arcane;8,75;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;10,00;;;;
Kiss the ring - Dune Parte II;7,50;;;;
Overture - The phantom of the Opera;7,00;;;;
The Night King - Juego de Tronos;10,00;;;;
Love theme - Cinema Paradiso;10,00;X;https://youtu.be/oQHkTCq5e8c;01:45-02:15;
Lisan Al Gaib - Dune II;8,50;;;;
Courtyard Apocalypse - Harry Potter;8,00;;;;
Nana de Mercedes - El laberinto del fauno;10,00;;;;
Apocalypto - The Game and Scape;7,00;;;;
Moon Knight theme - Moon Knight;7,50;;;;
True survivor- Kung fury;8,50;;;;
Blade runner blues - Blade Runner;4,50;;;;
Still don't know my name - Euphoria;7,00;;;;
The Game is On - Sherlock;8,75;;;;
I am Sherlocked - Sherlock;8,00;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;8,75;;;;
Náufrago escena- Náufrago;10,00;X;https://youtu.be/m_pHZ8PxVo4;02:08-02:38;
Imhotep - The mummy;8,00;;;;
Unohana Bankai - Bleach;7,00;;;;
Hymn To Red October - La caza del octubre rojo;8,00;;;;
La Pantera Rosa - La Pantera Rosa;9,50;;;;
Mother Sea - One piece;6,50;;;;
The bridge of Khazad Dum - El señor de los anillos;9,00;;;;
Jurassic Park - Parque Jurásico;9,50;;;;
Piratas del caribe BSO - Piratas del Caribe;10,00;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;10,00;;;;
Freedom - Braveheart;10,00;X;https://youtu.be/cCHf8FxqzJc;01:45-02:15;
Master of Masters theme - Kingdom Hearts;6,75;;;;
Discombobulate - Sherlock Holmes;9,50;;;;
Victor’s piano solo - La novia cadáver;9,50;;;;
The Only thing worth fighting for - True Detective;8,00;;;;
Marcha imperial - Star wars;9,00;;;;
Sayuri's Theme - Memorias de una Geisha;9,00;;;;
Your new home - Amazing Digital Circus;7,00;;;;
Love so fine - True Beauty kdrama;8,65;;;;
The Citrine Cross - The Da Vinci Code;7,50;;;;
Eye of the tiger - Rocky III;8,00;;;;
Kronos Unveiled - Los Increíbles;9,00;;;;
Farewell - Pocahontas;10,00;;;;
Family theme - Shinchan;7,50;;;;
Alice’s Theme - Alicia en el País de la Maravillas;10,00;;;;
Enchantix - Winx Club;8,00;;;;
Vals - Princesa por sorpresa;9,90;X;https://youtu.be/cz_m-R-Z4Eo;0:27-00:57;INFANCIA
Locke’d out again - Lost;8,50;;;;
Spirit - No voy a rendirme;10,00;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;9,50;;;;
Change of seasons - Harry Potter y la piedra filosofal;10,00;;;;
Indiana Jones Theme - Indiana Jones;9,50;;;;
Kanto Anime OST - Pokemon;8,00;;;;
Married Life - Up;8,50;;;;
Escena final Titanic - Titanic;10,00;X;https://youtu.be/fg5rVkNfeFw;00:35-01:05;
Battle of the Heroes - Star Wars: La Venganza de los Sith;10,00;;;;
Hyoga vs Camus - Saint Seiya;7,50;;;;
My Daughter Anne - Anne with an E;8,25;;;;
She is a witch - Madoka Magica;7,75;;;;
Sweet Dreams - Chainsaw man;7,50;;;;
Main theme - Psycho/Psicosis;8,00;;;;
The Batman - The Batman;9,50;;;;
Pozos de ambición - There will be blood;7,50;;;;
Portals - Avengers Endgame;9,50;;;;
I have to save her - Erased;9,50;;;;
The Mandalorian theme - The Mandalorian;9,00;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;7,50;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);10,00;;;;
Isshiki japanese combat kitchen - Shokugeki;7,00;;;;
Happy Gru - Gru, mi villano favorito;6,50;;;;
Escena Rue - Los juegos del hambre;9,85;X;https://youtu.be/NdEQ9ficU5U;04:20-04:50;
Zorro´s Theme - La mascara del zorro;10,00;;;;
Lo que el viento se llevó - Lo que el viento se llevó;9,50;;;;
Season 5A Suite - Once Upon a Time;8,00;;;;
Parade - Paprika;8,00;;;;
Derezzed - Tron legacy;7,50;;;;
Low of Solipsism - Death Note;7,75;;;;
Destroyer of Worlds - Oppenheimer;7,75;;;;
Sin mirar atrás - La ruta hacia el dorado;7,75;;;;
Corazón de dragón tema final- Corazón de dragón;10,00;X;https://youtu.be/GmV1Mmddvb8;01:56-02:26;
To give a marionette life - Hunter x Hunter;8,00;;;;
A Watchful Guardian - The Dark Knight;10,00;;;;
Allerdale Hall - La Cumbre Escarlata;10,00;;;;
Hanezeve Caradhina - Made in Abyss;6,50;;;;
The Other Side - Gattaca;8,50;;;;
I think i did - Lovely runner;7,50;;;;
Love theme - El padrino;10,00;;;;
Jaws, Main Theme - Jaws;8,50;;;;
Theme from Schindler’s List - Schindler’s List;10,00;;;;
Transformación - Hermano Oso;7,25;;;;
A Gift of A Thistle - Braveheart;9,75;;;;
Surrounded - El hombre de la máscara de hierro;10,00;X;https://youtu.be/FkM4d3gA9j8;01:05-01:35;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;10,00;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;7,75;;;;
An Immortal conffesion - Fumetsu no anata e.;7,75;;;;
Table for two - Animales Nocturnos;9,50;;;;
Cuckold Comes Out - Master & Commander;8,50;;;;
Lo extraño que soy - Tarzán;8,00;;;;
Pinks Soldiers 23 - Juego del calamar;7,25;;;;
Twin Peaks - Twin Peaks;5,75;;;;
Main title - El resplandor;7,50;;;;
Ashoka vs Maul - Star Wars: Clone Wars;8,50;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;9,50;;;;
Bso Leyendas de pasión- Leyendas de pasión;10,00;X;https://youtu.be/GCUEuRFeFUk;01:07-01:37;
Sauron - El señor de los anillos: Los Anillos de Poder;9,00;;;;
Madder Sky - Code Geass;8,50;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;7,85;;;;
Sadness Waltz - The picture of Dorian Gray;8,25;;;;
The Ecstasy of gold - El bueno, el feo y el malo;7,00;;;;
She will kill you - Stranger things;7,50;;;;
La vita è Bella - La Vita è Bella;10,00;;;;
Death is the road to Awe - The Fountain;8,65;;;;
The rains of Castamere - Juego de Tronos;10,00;;;;