Is She Still With You - Batman v Superman;7;;;;
Leaving Caladan - Dune Parte I;8;;;;
Attack on titan - Ataque a los titanes;7,5;;;;
Il triello - El bueno, el feo y el malo;8,5;;;;
Tanjiro no Uta - Kimetsu no Yaiba;8;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;7;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;7,25;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8,25;X;https://www.youtube.com/watch?v=8a-HfNE3EIo;00:38-01:08;
Rain - Cowboy bebop;8;;;;
To the Infinity Castle - Kimetsu No Yaiba;6,5;;;;
Once there was a Hushpuppy - Bestias del Sur Salvajes;9;;;;
Living in the shadows - Love, death and robots;7;;;;
Now We Are Free - Gladiator;8,5;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;8;;;;
This Land - El Rey León;9,5;;;;
Sanctuary - The Hunchback of Notre Dame;7,5;;;;
Vértigo - Vértigo;6,5;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;7,25;;;;
Restriction and pledge - Hunter x Hunter;7;;;;
Test Drive - Como entrenar a tu dragón;8;X;https://www.youtube.com/watch?v=IpPIK4T068s;00:22-00:52;
Jump in the line - Beetlejuice;7;;;;
Goodbye blue sky - The Wall;6;;;;
Dynasties & Dystopia - Arcane;7,5;;;;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;8,5;;;;
Kiss the ring - Dune Parte II;8,5;;;;
Overture - The phantom of the Opera;7,25;;;;
The Night King - Juego de Tronos;7,5;;;;
Love theme - Cinema Paradiso;8,25;;;;
Lisan Al Gaib - Dune II;8;;;;
Courtyard Apocalypse - Harry Potter;6,5;;;;
Nana de Mercedes - El laberinto del fauno;7,25;;;;
Apocalypto - The Game and Scape;8,5;X;https://www.youtube.com/watch?v=4_gVrnf--C8;01:30-02:00;
Moon Knight theme - Moon Knight;6;;;;
True survivor- Kung fury;6,25;;;;
Blade runner blues - Blade Runner;5,5;;;;
Still don't know my name - Euphoria;9;;;;
The Game is On - Sherlock;8,25;;;;
I am Sherlocked - Sherlock;7,5;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;6,5;;;;
Náufrago escena- Náufrago;8,5;;;;
Imhotep - The mummy;7;;;;
Unohana Bankai - Bleach;6;;;;
Hymn To Red October - La caza del octubre rojo;6,5;;;;
La Pantera Rosa - La Pantera Rosa;7,5;X;https://www.youtube.com/watch?v=wDoDYEFIMas;00:00-00:30;
Mother Sea - One piece;7;;;;
The bridge of Khazad Dum - El señor de los anillos;8;;;;
Jurassic Park - Parque Jurásico;7;;;;
Piratas del caribe BSO - Piratas del Caribe;8,5;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;7,5;;;;
Freedom - Braveheart;7,25;;;;
Master of Masters theme - Kingdom Hearts;6,75;;;;
Discombobulate - Sherlock Holmes;7,5;;;;
Victor’s piano solo - La novia cadáver;7,5;;;;
The Only thing worth fighting for - True Detective;8;;;;
Marcha imperial - Star wars;8;;;;
Sayuri's Theme - Memorias de una Geisha;9;X;https://www.youtube.com/watch?v=5LFHKSB0n20;00:12-00:42;
Your new home - Amazing Digital Circus;7;;;;
Love so fine - True Beauty kdrama;5;;;;
The Citrine Cross - The Da Vinci Code;8,5;;;;
Eye of the tiger - Rocky III;8,75;;;;
Kronos Unveiled - Los Increíbles;7,25;;;;
Farewell - Pocahontas;7,5;;;;
Family theme - Shinchan;7;;;;
Alice’s Theme - Alicia en el País de la Maravillas;7;;;;
Enchantix - Winx Club;5,5;;;;
Vals - Princesa por sorpresa;7,5;;;;
Locke’d out again - Lost;6;;;;
Spirit - No voy a rendirme;8,75;X;https://www.youtube.com/watch?v=Vsw8VrnEjxI;01:35-02:05;INFANCIA
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;6,5;;;;
Change of seasons - Harry Potter y la piedra filosofal;7,25;;;;
Indiana Jones Theme - Indiana Jones;7,5;;;;
Kanto Anime OST - Pokemon;7;;;;
Married Life - Up;9;;;;
Escena final Titanic - Titanic;9,25;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;8;;;;
Hyoga vs Camus - Saint Seiya;6,5;;;;
My Daughter Anne - Anne with an E;7,5;;;;
She is a witch - Madoka Magica;6,5;;;;
Sweet Dreams - Chainsaw man;7;;;;
Main theme - Psycho/Psicosis;6,5;;;;
The Batman - The Batman;9;X;https://www.youtube.com/watch?v=Cwcinb2OxUo;00:00-00:30;
Pozos de ambición - There will be blood;6,5;;;;
Portals - Avengers Endgame;7,5;;;;
I have to save her - Erased;7;;;;
The Mandalorian theme - The Mandalorian;8,5;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;7,5;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);7,75;;;;
Isshiki japanese combat kitchen - Shokugeki;6;;;;
Happy Gru - Gru, mi villano favorito;8,5;;;;
Escena Rue - Los juegos del hambre;8,25;;;;
Zorro´s Theme - La mascara del zorro;8;X;https://www.youtube.com/watch?v=WYwsLVxGV3c;01:23-01:53;
Lo que el viento se llevó - Lo que el viento se llevó;7,25;;;;
Season 5A Suite - Once Upon a Time;7;;;;
Parade - Paprika;5;;;;
Derezzed - Tron legacy;7,25;;;;
Low of Solipsism - Death Note;7;;;;
Destroyer of Worlds - Oppenheimer;7,5;;;;
Sin mirar atrás - La ruta hacia el dorado;8,5;;;;
Corazón de dragón tema final- Corazón de dragón;7;;;;
To give a marionette life - Hunter x Hunter;6,5;;;;
A Watchful Guardian - The Dark Knight;7,75;;;;
Allerdale Hall - La Cumbre Escarlata;8,5;;;;
Hanezeve Caradhina - Made in Abyss;5,5;;;;
The Other Side - Gattaca;7;;;;
I think i did - Lovely runner;5,5;;;;
Love theme - El padrino;8,5;;;;
Jaws, Main Theme - Jaws;7,5;X;https://www.youtube.com/watch?v=BePfzCOMRZQ;00:40-01:10;
Theme from Schindler’s List - Schindler’s List;8,75;;;;
Transformación - Hermano Oso;8;;;;
A Gift of A Thistle - Braveheart;8,5;;;;
Surrounded - El hombre de la máscara de hierro;7,5;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;7,25;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;7,5;;;;
An Immortal conffesion - Fumetsu no anata e.;8;;;;
Table for two - Animales Nocturnos;7,5;;;;
Cuckold Comes Out - Master & Commander;7,5;;;;
Lo extraño que soy - Tarzán;8,75;X;https://www.youtube.com/watch?v=36eHjmhVMdY;00:28-00:58;
Pinks Soldiers 23 - Juego del calamar;6,5;;;;
Twin Peaks - Twin Peaks;7,25;;;;
Main title - El resplandor;7,5;;;;
Ashoka vs Maul - Star Wars: Clone Wars;7,5;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;8;;;;
Bso Leyendas de pasión- Leyendas de pasión;8,5;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;8;;;;
Madder Sky - Code Geass;7,5;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;6,75;;;;
Sadness Waltz - The picture of Dorian Gray;7,75;;;;
The Ecstasy of gold - El bueno, el feo y el malo;8,25;;;;
She will kill you - Stranger things;7;;;;
La vita è Bella - La Vita è Bella;7,75;X;https://www.youtube.com/watch?v=KB99gDvxyFo;00:10-00:40;
Death is the road to Awe - The Fountain;7,5;;;;
The rains of Castamere - Juego de Tronos;8,25;;;;