Is She Still With You - Batman v Superman;9,25;;;;
Leaving Caladan - Dune Parte I;7;;;;
Attack on titan - Ataque a los titanes;10;;;;
Il triello - El bueno, el feo y el malo;7;;;;
Tanjiro no Uta - Kimetsu no Yaiba;9,5;;;;
Death of Sirius - Harry Potter y la Orden del Fénix;6;;;;
David el Jones tema - Piratas del Caribe: El Cofre del Hombre Muerto;9,5;;;;
"Carros de fuego" - Vangelis (Carros de fuego);8,25;;;;
Rain - Cowboy bebop;8,7;;;;
To the Infinity Castle - Kimetsu No Yaiba;10;X;https://youtu.be/eqvR90rVseY?si=uiOJy3F31Sl8AyqP;2:08-2:38;
Once there was a Hushpuppy - Bestias del Sur Salvajes;7,75;;;;
Living in the shadows - Love, death and robots;9,68;;;;
Now We Are Free - Gladiator;7,5;;;;
One Day - Piratas del caribe 3 - Piratas del Caribe, en el fin del mundo;8,9;;;;
This Land - El Rey León;9;;;;
Sanctuary - The Hunchback of Notre Dame;9,8;;;;
Vértigo - Vértigo;3,5;;;;
Lex Luthor theme - Batman v Superman: Dawn of Justice;7,5;;;;
Restriction and pledge - Hunter x Hunter;9,25;;;;
Test Drive - Como entrenar a tu dragón;10;;;;
Jump in the line - Beetlejuice;5,5;;;;
Goodbye blue sky - The Wall;6,5;;;;
Dynasties & Dystopia - Arcane;10;X;https://youtu.be/y_fB0IMbq54?si=P4oyGEI16rRduHT-;0:48-1:18;
The Breaking of the Fellowship (feat. "In Dreams") - El señor de los anillos;7,5;;;;
Kiss the ring - Dune Parte II;7,5;;;;
Overture - The phantom of the Opera;8;;;;
The Night King - Juego de Tronos;7,5;;;;
Love theme - Cinema Paradiso;7,75;;;;
Lisan Al Gaib - Dune II;8,4;;;;
Courtyard Apocalypse - Harry Potter;9;X;https://youtu.be/kAI9R60zjrw?si=FGuCXCWEcml9XDmn;0:50-1:20;
Nana de Mercedes - El laberinto del fauno;8,5;;;;
Apocalypto - The Game and Scape;6;;;;
Moon Knight theme - Moon Knight;9,5;;;;
True survivor- Kung fury;9;;;;
Blade runner blues - Blade Runner;4,5;;;;
Still don't know my name - Euphoria;7,5;;;;
The Game is On - Sherlock;9;;;;
I am Sherlocked - Sherlock;7,5;;;;
Duel of Fates - Star Wars: La Amenaza Fantasma;9,4;;;;
Náufrago escena- Náufrago;8;;;;
Imhotep - The mummy;5;;;;
Unohana Bankai - Bleach;8,25;;;;
Hymn To Red October - La caza del octubre rojo;6;;;;
La Pantera Rosa - La Pantera Rosa;9,25;;;;
Mother Sea - One piece;9;X;https://youtu.be/o231fOo8cNg?si=WEXdyffJuFe8K4Hh;0:42-1:12;
The bridge of Khazad Dum - El señor de los anillos;6,5;;;;
Jurassic Park - Parque Jurásico;8,75;;;;
Piratas del caribe BSO - Piratas del Caribe;9,25;;;;
Binary Sunset (Force Theme) - Star Wars: Una Nueva Esperanza;8,5;;;;
Freedom - Braveheart;4;;;;
Master of Masters theme - Kingdom Hearts;8,5;;;;
Discombobulate - Sherlock Holmes;9;;;;
Victor’s piano solo - La novia cadáver;6,75;;;;
The Only thing worth fighting for - True Detective;8,5;;;;
Marcha imperial - Star wars;8,75;;;;
Sayuri's Theme - Memorias de una Geisha;5,5;;;;
Your new home - Amazing Digital Circus;10;;;;
Love so fine - True Beauty kdrama;10;X;https://youtu.be/-PQGsN_Xx9o?si=K0BDLp6PCyswSvqT;0:36-1:06;
The Citrine Cross - The Da Vinci Code;6,75;;;;
Eye of the tiger - Rocky III;9,75;;;;
Kronos Unveiled - Los Increíbles;8,6;;;;
Farewell - Pocahontas;8,25;;;;
Family theme - Shinchan;7;;;;
Alice’s Theme - Alicia en el País de la Maravillas;9,8;;;;
Enchantix - Winx Club;8;;;;
Vals - Princesa por sorpresa;7,25;;;;
Locke’d out again - Lost;6;;;;
Spirit - No voy a rendirme;8,5;;;;
Mazinger Z Fight theme - Escena de Mazinger Z vs Devilman;7;;;;
Change of seasons - Harry Potter y la piedra filosofal;8,2;;;;
Indiana Jones Theme - Indiana Jones;9;;;;
Kanto Anime OST - Pokemon;8;X;https://youtu.be/bWrVTR_IuWo?si=EIf3GB9txv6HU7ip;0:13-0:43;INFANCIA
Married Life - Up;10;;;;
Escena final Titanic - Titanic;9,6;;;;
Battle of the Heroes - Star Wars: La Venganza de los Sith;10;;;;
Hyoga vs Camus - Saint Seiya;7,4;;;;
My Daughter Anne - Anne with an E;5,5;;;;
She is a witch - Madoka Magica;9,2;;;;
Sweet Dreams - Chainsaw man;6,5;;;;
Main theme - Psycho/Psicosis;8;;;;
The Batman - The Batman;8,8;;;;
Pozos de ambición - There will be blood;5;;;;
Portals - Avengers Endgame;9,2;;;;
I have to save her - Erased;10;X;https://youtu.be/hEMdaVR50kY?si=YJIXDSptmo-0P1oq;0:37-1:07;
The Mandalorian theme - The Mandalorian;4,5;;;;
Khazad-dûm - El Señor de los Anillos: Los Anillos de Poder;7;;;;
Tituless - Rebel Moon: El Cáliz de Sangre (Director's Cut);5,5;;;;
Isshiki japanese combat kitchen - Shokugeki;8,75;;;;
Happy Gru - Gru, mi villano favorito;6;;;;
Escena Rue - Los juegos del hambre;7,25;;;;
Zorro´s Theme - La mascara del zorro;8,25;;;;
Lo que el viento se llevó - Lo que el viento se llevó;5;;;;
Season 5A Suite - Once Upon a Time;9;X;https://youtu.be/2EoAKqbJyLU;3:22-3:52;
Parade - Paprika;6,5;;;;
Derezzed - Tron legacy;4;;;;
Low of Solipsism - Death Note;9,5;;;;
Destroyer of Worlds - Oppenheimer;7,6;;;;
Sin mirar atrás - La ruta hacia el dorado;6;;;;
Corazón de dragón tema final- Corazón de dragón;7,2;;;;
To give a marionette life - Hunter x Hunter;6;;;;
A Watchful Guardian - The Dark Knight;7,5;;;;
Allerdale Hall - La Cumbre Escarlata;6,8;;;;
Hanezeve Caradhina - Made in Abyss;9;;;;
The Other Side - Gattaca;4,5;;;;
I think i did - Lovely runner;10;X;https://youtu.be/IgAj75hi_pM?si=huY1nbBdnqGCs8Fu;2:55-3:25;
Love theme - El padrino;4,2;;;;
Jaws, Main Theme - Jaws;7,75;;;;
Theme from Schindler’s List - Schindler’s List;6,2;;;;
Transformación - Hermano Oso;7,85;;;;
A Gift of A Thistle - Braveheart;6;;;;
Surrounded - El hombre de la máscara de hierro;8;;;;
Mischief Managed - Harry Potter y el Prisionero de Azkaban;5,5;;;;
Dumbledore’s farewell - Harry Potter y el misterio del príncipe;8,25;;;;
An Immortal conffesion - Fumetsu no anata e.;9,5;;;;
Table for two - Animales Nocturnos;3,5;;;;
Cuckold Comes Out - Master & Commander;6,5;;;;
Lo extraño que soy - Tarzán;9;;;;
Pinks Soldiers 23 - Juego del calamar;8;X;https://youtu.be/vlzNwtKneZM?si=9Cwf6IAaeZHWuEEE;0:00-0:30;
Twin Peaks - Twin Peaks;4;;;;
Main title - El resplandor;7,75;;;;
Ashoka vs Maul - Star Wars: Clone Wars;6,2;;;;
The Wolf Who Became A Woman - Rebel Moon: Parte 1;4,5;;;;
Bso Leyendas de pasión- Leyendas de pasión;3;;;;
Sauron - El señor de los anillos: Los Anillos de Poder;7,4;;;;
Madder Sky - Code Geass;8,5;;;;
Rengoku vs Akaza - Kimetsu no Yaiba;9,4;;;;
Sadness Waltz - The picture of Dorian Gray;10;;;;
The Ecstasy of gold - El bueno, el feo y el malo;9,5;;;;
She will kill you - Stranger things;9;X;https://youtu.be/ly2ox8vP0Z0?si=J3Ya4VtEeZiEy_DX;0:40-1:10;
La vita è Bella - La Vita è Bella;9,6;;;;
Death is the road to Awe - The Fountain;7;;;;
The rains of Castamere - Juego de Tronos;6,6;;;;